requirement_id,requirement_type,priority,requirement_status,requirement,element_type,element_id,element,owner
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,component,api-management,Order API gateway,API Platform Team
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,component,azure-monitor,Telemetry platform,SRE Team
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,component,front-door,Global edge,Azure Platform Team
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,component,order-api,Order API,Retail Ordering Team
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,component,order-db,Order database,Retail Ordering Team
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,component,order-platform,Order platform,Retail Ordering Team
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,component,outbox-worker,Outbox publisher,Retail Ordering Team
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,component,service-bus,Order event bus,Integration Platform Team
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,control,ctl-atomic-outbox,Atomic outbox,Retail Ordering Team
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,control,ctl-edge-protection,Edge protection,Azure Platform Team
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,control,ctl-k8s-baseline,Restricted AKS workload baseline,Azure Platform Team
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,control,ctl-observability,End-to-end observability,SRE Team
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,relationship,rel-api-db,Commit order and outbox atomically,
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,relationship,rel-api-monitor,Emit correlated service telemetry,
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,relationship,rel-apim-api,Authorize and invoke order API,
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,relationship,rel-bus-fulfillment,Deliver OrderCreated v2,
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,relationship,rel-bus-monitor,Export queue and DLQ metrics,
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,relationship,rel-customer-platform,Place and track order,
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,relationship,rel-db-monitor,Export database health and audit logs,
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,relationship,rel-flux-api,Apply health-gated deployment,
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,relationship,rel-frontdoor-apim,Forward approved request,
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,relationship,rel-monitor-oncall,Route actionable SLO alert,
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,relationship,rel-web-frontdoor,Create order request,
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,relationship,rel-worker-bus,Publish OrderCreated v2,
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,relationship,rel-worker-db,Claim unpublished outbox rows,
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,relationship,rel-worker-monitor,Emit backlog and publish telemetry,
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,view,aks-runtime,07 · AKS workload runtime,
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,view,azure-deployment-network,03 · Azure deployment and network,
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,view,delivery-gitops,08 · Delivery and GitOps controls,
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,view,logical-containers,02 · Logical services and integrations,
